Leaf_Num,Leaf_Area,Undisturbed,Percent_Undisturbed,Percent_Herbivory,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,30,26,0.866666667,13.33333333,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,36,32,0.888888889,11.11111111,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,30,22,0.733333333,26.66666667,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,33.5,28,0.83366543,16.63345699,Average,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tree 4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Leaf Area,Undisturbed,% Undisturbed,% Herbivory,,DBH,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,35,35,1,0,,Tree Health (1-3),,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,40,37,0.925,7.5,,# of Galls,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,39,34,0.871794872,12.82051282,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,38,34,0.894736842,10.52631579,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,29,25,0.862068966,13.79310345,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,33,31,0.939393939,6.060606061,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,37,35,0.945945946,5.405405405,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,34,31,0.911764706,8.823529412,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,31,27,0.870967742,12.90322581,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32,28,0.875,12.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,34.8,31.7,0.909667301,9.033269874,Average,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tree 5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Leaf Area,Undisturbed,% Undisturbed,% Herbivory,,DBH,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,36,30,0.833333333,16.66666667,,Tree Health (1-3),,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,39,23,0.58974359,41.02564103,,# of Galls,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,36,29,0.805555556,19.44444444,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,34,24,0.705882353,29.41176471,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,36,27,0.75,25,,,,,,,,,
